"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"CI","2311W","Introduction to Technology and Ethics in Society","Twin Cities","Values and ethical issues related to technology use in education, workplace, and family/community life.","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"CI","3435W","Envisioning Green New Worlds with Youth Literatures and Media","Twin Cities","The current systems of our dominant petrocivilization are up to no good. Energy, food, financial, and other systems uphold inequality and exacerbate = ecocide. Despite their clear faults, these
systems are upheld by the dominant narratives of our age. From the story of (Western-colonial) human “dominion” over the Earth, the fable of social darwinism, or the myth of unlimited growth, stories have helped to normalize unsustainability and injustice. These stories and the systems they support are so ingrained in our collective narrative that it is easier to imagine the end of the world than the end of carbon-intense petrocivilization. Humanity’s failure to develop ecologically-attuned socioeconomic systems is, in part, a failure of the imagination. But no more! This course offers students the opportunity to imagine otherwise: to develop imagination as a skill to use in designing a better, greener, more just world. Our primary tools for developing this skill will be literatures and media for young people. These will include films like Nausicaa of the Valley of the Wind, novels like The End of the Wild, youth activist memoirs like A Bigger Picture, and a range of picture books read both in and out of class. Together, we will examine these stories through the lens of theory and scholarship in order to critique the stories and socioeconomic systems of the ecocidal status quo, explore and study alternatives, and build our capacity to generate even more possibilities—as well as charting paths to bring them about. Students will engage with a range of scholarly, popular, and literary narratives across different
media and participate in regular imaginative play called episodic future thinking (EFT). We will experience how telling more ecologically attuned stories allows us to more capably and collectively design parameters for an ecological civilization. The course culminates in a collaborative project in which students will connect the course readings and learnings to propose specific, research-supported visions of the green new worlds they want and deserve.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Spring"
"CI","4311W","Technology and Ethics in Society","Twin Cities","Critique of values and ethical issues related to technology use in education, the workplace, and family and community life.","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"CNRC","1913","Homer's Odyssey and Modern Politics","Twin Cities","Homer's Odyssey is the story of a man who returns from war to find a world much different from the one he left ten years earlier—and one that seems to have no place for him. On his way home, he lies to some, robs and murders others, and, arguably, through his own negligence, loses all his men. Once back on his native island of Ithaca, he re-establishes his authority as local strongman through a mass killing of rivals. He is nonetheless emphatically a ""hero"" and the moral and political center of the story: what Odysseus does is (in the storyteller's eyes, and those of most readers ever since) right and just. This seminar will use a close reading of the Odyssey, a study of Season One of the Netflix series House of Cards, and extensive discussion of contemporary political and social events, to ask what sort of political and social world Homer's poem imagines; how it formulates and discusses power and justice; how it encourages its audience to accept judgments about human behavior and ""what is right"" that may, upon reflection, seem horrifying; and what we are to make of this today.

This course is taught by S. Douglas Olson, a classicist whose main academic interest is in ancient Greek poetry, especially Athenian comedy. He spends the fall semester every year at the UMN and the spring at Bilkent University in Ankara, Turkey, along with his two cats (one very bad, named Osiris, and one very good, named Cicek).","3","3","No","1","3","A-F - A-F Grade Basis","001475","Periodic Fall"
"CNRC","3061","""Bread and Circuses:"" Spectacles and Mass Culture in Antiquity","Twin Cities","Development of large-scale public entertainments in ancient Mediterranean world, from athletic contests of Olympia and dramatic festivals of Athens to chariot races and gladiatorial games of Roman Empire. Wider significance of these spectacles in their impact on political, social, and economic life of the societies that supported them.","3","3","No","1","3","OPT - Student Option","-","Fall Odd, Spring Even Year"
"COMM","1101","Introduction to Public Speaking","Twin Cities","At a time when your voice can shape opinions, spark action, and influence change, the ability to speak confidently and persuasively is more important than ever. This course will help you develop the skills to craft and deliver messages that resonate with different audiences in a variety of public speaking situations. We will explore topics like speech preparation, techniques for managing speaking anxiety, using storytelling and narrative devices, and strategic body language. Through a combination of speech presentations, peer feedback, and critiques of public figures, you will learn how to refine your own speaking style and become more aware of the ethical responsibilities that come with public communication. By the end of the course, you will be able to speak confidently and thoughtfully in a variety of contexts, including academic, professional, and community settings. ","3","3","No","1","3","OPN - Student Option No Audit","-","Every Fall, Spring & Summer"
"COMM","1101H","Honors: Introduction to Public Speaking","Twin Cities","What does it mean to communicate effectively in the public sphere? In this honors course, we will explore the art and theory of public speaking, blending rhetorical concepts with advanced public speaking techniques. Our focus will be on developing presentation skills such as crafting compelling messages, managing speaking anxiety, and engaging audiences through nonverbal communication and visual aids. We will address the foundations of effective presentations, including researching, outlining, and constructing a speech while incorporating tailored messaging, audience analysis, and ethical considerations into each presentation. Through readings, lectures, class activities, and speech assignments, you will critically analyze influential speeches and refine your own speaking style. By the end of the course, you will have a deeper understanding of how public speaking shapes our society and will have developed the skills to communicate effectively and ethically in a variety of contexts, both academically and professionally. 

prereq: Honors","3","3","No","1","3","A-F - A-F Grade Basis","000571","Every Fall & Spring"
"COMM","3631","Freedom of Speech","Twin Cities","Communication theories and principles that underlie the concept of freedom of speech in the United States.  A variety of contexts and practices are examined in order to understand how communicative interaction should be described and, when necessary, appropriately regulated.","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"COMM","3682W","Communicating War","Twin Cities","Claim: if ethics (right/wrong) exists in war, then right/wrong exist everywhere. Students experience this claim through its expression in various arts/humanities media of history, memoir, philosophical meditation, and film.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"CPSY","1334","Global Issues on Children and Youth in Society","Twin Cities","Study of hot topics currently faced by children and youth around the world, including focuses on homelessness, acculturation, mental health, substance abuse, war and political violence, immigration, and legal issues. Provides an introduction to science, ethics, and ramifications in civic life of current, controversial issues concerning child or youth development. Examines topics of concern and interest to parents, society, and young people and how developmental science informs these issues and policies as well as the decisions and actions of citizens. Students will also learn how research is translated and disseminated so that it can inform policy and practice.","3","3","No","1","3","OPT - Student Option","-","Every Fall"
